DATE,ALVO_FECHOU_GAP_30MIN,GAP_NA_FAIXA_IDEAL,DIVERGENCIA_ABERTURA,GAP_ALTA,GAP_PORCENTAGEM_norm,DIAS_DESDE_ULTIMO_GAP_norm,VOLATILIDADE_ANTERIOR_norm,FORCA_ABERTURA_10MIN_norm,TEND_Aumentando,TEND_Diminuindo,TEND_Estável
2020-10-16,0,1,0,0,0.4323,0.0,0.0,0.4613,False,False,True
2020-10-19,0,0,1,1,0.4979,0.0714,0.1884,0.5214,False,False,True
2020-10-20,0,0,0,1,0.5186,0.0714,0.3334,0.6697,True,False,False
2020-10-21,1,1,1,0,0.4451,0.0714,0.3318,0.564,False,False,True
2020-10-22,1,1,1,1,0.4728,0.0714,0.3271,0.3758,False,False,True
2020-10-23,1,1,1,1,0.4648,0.0714,0.3578,0.353,True,False,False
2020-10-26,1,0,1,0,0.4097,0.0714,0.2291,0.6313,False,True,False
2020-10-27,0,0,0,1,0.4863,0.0714,0.4149,0.5443,True,False,False
2020-10-28,0,0,0,0,0.2736,0.0714,0.4764,0.3968,True,False,False
2020-10-29,1,1,1,1,0.4564,0.0714,0.5748,0.2771,True,False,False
2020-10-30,0,0,0,0,0.4078,0.0714,0.7217,0.3588,True,False,False
2020-11-03,0,0,1,1,0.63,0.1429,0.5648,0.4999,False,True,False
2020-11-04,0,0,0,1,0.6417,0.0714,0.2724,0.7045,False,True,False
2020-11-05,0,0,1,1,0.6064,0.0714,0.4049,0.5272,True,False,False
2020-11-06,0,0,1,0,0.3662,0.0714,0.3972,0.5811,False,False,True
2020-11-09,0,0,1,1,0.8713,0.0714,0.2371,0.4282,False,True,False
2020-11-10,1,0,1,0,0.4088,0.0714,0.3872,0.6044,True,False,False
2020-11-11,0,0,1,0,0.345,0.0714,0.4413,0.6391,True,False,False
2020-11-12,0,0,1,1,0.483,0.0714,0.2603,0.4417,False,True,False
2020-11-13,0,0,0,1,0.5602,0.0714,0.5913,0.6348,True,False,False
2020-11-16,0,0,1,1,0.6584,0.0714,0.3604,0.4085,False,True,False
2020-11-17,1,1,0,0,0.4325,0.0714,0.2325,0.5283,False,True,False
2020-11-18,1,1,1,1,0.4562,0.0714,0.3925,0.4811,True,False,False
2020-11-19,1,0,1,0,0.4004,0.0714,0.256,0.6458,False,True,False
2020-11-20,1,1,1,0,0.4464,0.0714,0.3032,0.6028,True,False,False
2020-11-23,0,0,1,1,0.5378,0.0714,0.209,0.5151,False,True,False
2020-11-24,0,0,1,1,0.496,0.0714,0.189,0.5338,False,False,True
2020-11-25,1,1,1,0,0.4349,0.0714,0.4607,0.6452,True,False,False
2020-11-26,0,0,1,0,0.3863,0.0714,0.2665,0.5676,False,True,False
2020-11-27,0,0,1,1,0.5121,0.0714,0.1684,0.3499,False,True,False
2020-11-30,1,0,1,0,0.3843,0.0714,0.2523,0.642,True,False,False
2020-12-01,0,0,0,1,0.5446,0.0714,0.4099,0.552,True,False,False
2020-12-02,1,0,1,0,0.411,0.0714,0.306,0.9094,False,True,False
2020-12-03,0,0,0,1,0.5088,0.0714,0.3215,0.5746,False,False,True
2020-12-04,1,1,1,0,0.4443,0.0714,0.292,0.5669,False,True,False
2020-12-07,1,1,0,0,0.4364,0.0714,0.1752,0.5418,False,True,False
2020-12-08,0,0,0,0,0.4146,0.0714,0.2053,0.4293,True,False,False
2020-12-09,1,0,1,1,0.4749,0.0714,0.2974,0.4522,True,False,False
2020-12-10,0,0,0,1,0.4957,0.0714,0.279,0.7095,False,False,True
2020-12-11,0,0,0,0,0.3961,0.0714,0.4837,0.5095,True,False,False
2020-12-14,1,0,1,1,0.5038,0.0714,0.2754,0.4146,False,True,False
2020-12-15,1,1,0,0,0.443,0.0714,0.2769,0.5073,False,False,True
2020-12-16,0,0,0,1,0.4821,0.0714,0.2798,0.5832,False,False,True
2020-12-17,1,1,1,1,0.4726,0.0714,0.4757,0.4197,True,False,False
2020-12-18,1,1,0,1,0.457,0.0714,0.244,0.6831,False,True,False
2020-12-21,0,0,0,0,0.2035,0.0714,0.2282,0.5394,False,False,True
2020-12-22,0,0,1,0,0.3783,0.0714,0.3922,0.6174,True,False,False
2020-12-23,0,0,0,1,0.4842,0.0714,0.2457,0.6217,False,True,False
2020-12-28,0,0,1,1,0.5093,0.2143,0.265,0.5371,False,False,True
2020-12-29,0,0,1,1,0.5069,0.0714,0.1895,0.5254,False,True,False
2020-12-30,0,0,0,1,0.475,0.0714,0.2022,0.6483,False,False,True
2021-01-04,0,0,0,1,0.5222,0.2143,0.2288,0.5678,True,False,False
2021-01-05,0,0,0,0,0.4069,0.0714,0.4044,0.506,True,False,False
2021-01-06,1,1,1,0,0.4406,0.0714,0.557,0.6701,True,False,False
2021-01-07,0,0,1,0,0.3982,0.0714,0.3768,0.5869,False,True,False
2021-01-08,0,0,0,1,0.5555,0.0714,0.4352,0.6318,True,False,False
2021-01-11,0,0,0,0,0.3388,0.0714,0.508,0.3637,True,False,False
