DATE,OPEN,CLOSE,HIGH,LOW,gap_pct,volatilidade_anterior,categoria_gap,probabilidade,volatilidade_ultima_hora,probabilidade_vol_ultimas1hEgap,volatilidade_ultimos_30min,probabilidade_vol_ultimas30minEgap,volatilidade_ultimos_15min,probabilidade_vol_ultimas15minEgap,volatilidade_ultimos_90min,probabilidade_vol_ultimas90minEgap,media_diaria
2020-10-15,98565,99045,99730,98530,,,indefinido,indefinido,0.0002751318807711753,0.0,0.00031884857790932206,0.0,0.0004237700692347786,0.0,0.00037484711397849703,0.0,99156.96721311475
2020-10-16,99340,98700,99435,98280,0.297844414155182,1.2179031766974526,gap_positivo_medio,0.4236760124610592,0.0003279756402163598,0.4722222222222222,0.00031491137367751235,0.4722222222222222,0.000359493149917107,0.4722222222222222,0.0003141959871216561,0.4722222222222222,98826.68691588785
2020-10-19,99150,98940,100170,98570,0.4559270516717325,1.1752136752136753,gap_positivo_medio,0.4236760124610592,0.00022082705259874393,0.4722222222222222,0.00022214656163128103,0.4722222222222222,0.00019601415313519766,0.4722222222222222,0.0002580112425982849,0.4722222222222222,99402.14018691589
2020-10-20,99200,100930,100970,99120,0.26278552658176674,1.62321193060769,gap_positivo_medio,0.4236760124610592,0.00039639362478240017,0.4722222222222222,0.0004696569180873789,0.4722222222222222,0.0005989697618605415,0.4722222222222222,0.0004075497340253777,0.4722222222222222,100354.59813084113
2020-10-21,100500,100710,101875,100280,-0.42603784801347466,1.8664245359160614,gap_negativo_medio,0.3177570093457944,0.0003397392476922355,0.3333333333333333,0.0002710858039776681,0.3333333333333333,0.00035255761997048747,0.3333333333333333,0.0003367549158560999,0.3333333333333333,101020.52803738318
2020-10-22,100660,102375,102445,100565,-0.04964750273061264,1.5905464698843237,gap_quase_nulo,0.15264797507788164,0.00026857748094737734,0.1388888888888889,0.0003228843847157717,0.1388888888888889,0.000416522131636202,0.1388888888888889,0.000244347470747938,0.1388888888888889,101596.14485981308
2020-10-23,102420,101630,102480,101275,0.04395604395604395,1.8694376771242478,gap_quase_nulo,0.15264797507788164,0.0002471384944332748,0.1388888888888889,0.00020027260800233967,0.1388888888888889,0.00021791996977509306,0.1388888888888889,0.00024315513501033023,0.1388888888888889,101775.02336448598
2020-10-26,100845,101355,101970,99940,-0.7724097215389157,1.1898296716860035,gap_negativo_medio,0.3177570093457944,0.0002497752929602344,0.3333333333333333,0.00017501425704322294,0.3333333333333333,0.00017662772566881543,0.3333333333333333,0.00030899783862378563,0.3333333333333333,101137.92990654205
2020-10-27,101890,98850,101940,98770,0.5278476641507572,2.0312187312387433,gap_positivo_medio,0.3060109289617486,0.00042469627915945647,0.4722222222222222,0.0004989589174539959,0.4722222222222222,0.0005840129164128549,0.4722222222222222,0.00037994866633802525,0.4722222222222222,100513.21495327103
2020-10-28,98300,95130,98375,95130,-0.556398583712696,3.209476561709021,gap_negativo_medio,0.3137254901960784,0.00038304447567933167,0.3333333333333333,0.0004148506889937185,0.3333333333333333,0.00047224995109347047,0.3333333333333333,0.000447212861130818,0.3333333333333333,96533.67011278195
2020-10-29,95235,95765,96895,93555,0.11037527593818984,3.411121623042153,gap_positivo_medio,0.37254901960784315,0.0005419668496054442,0.4722222222222222,0.0005675734711991709,0.4722222222222222,0.0006710846008811277,0.4722222222222222,0.0005341214338596,0.4722222222222222,95666.09345794392
2020-10-30,95505,94535,96340,93630,-0.2714979376598966,3.570092458981348,gap_negativo_medio,0.3137254901960784,0.0008249864670401933,0.3333333333333333,0.000823328269393677,0.3333333333333333,0.0006741212773288661,0.3333333333333333,0.0008193837043069698,0.3333333333333333,94780.19699812382
2020-11-03,96090,95750,96535,95135,1.6448934257153436,2.8943714621382033,gap_positivo_alto,0.14754098360655737,0.0007274520571131184,0.0,0.0007858614070185832,0.0,0.0009871267589325668,0.0,0.0006495561464385536,0.0,95797.26785714286
2020-11-04,96155,98390,98470,96155,0.42297650130548303,1.4715929994218742,gap_positivo_medio,0.4236760124610592,0.0006106780480696896,0.4722222222222222,0.0006311144844370616,0.4722222222222222,0.0008185948111485832,0.4722222222222222,0.0005992475617283677,0.4722222222222222,97740.83185840708
2020-11-05,99285,101080,101120,99150,0.909645289155402,2.4075711091466903,gap_positivo_alto,0.14754098360655737,0.000399534674970397,0.0,0.00047803077798030285,0.0,0.0005489743210920471,0.0,0.00039687023678694147,0.0,100165.18303571429
2020-11-06,100395,101035,101275,99990,-0.6776810447170558,1.9868885526979323,gap_negativo_medio,0.3177570093457944,0.0003840924564034506,0.3333333333333333,0.00044160323621121166,0.3333333333333333,0.0004868765481716533,0.3333333333333333,0.0004026525375028066,0.3333333333333333,100618.95132743364
2020-11-09,104115,103250,105355,103250,3.0484485574305933,1.2851285128512853,gap_positivo_alto,0.04984423676012461,0.0005355560959170889,0.0,0.0005846807310025404,0.0,0.0007113558046278674,0.0,0.0004929189833904832,0.0,104037.41517857143
2020-11-10,103500,104885,105940,103390,0.24213075060532688,2.0387409200968523,gap_positivo_medio,0.3060109289617486,0.0003790165962545215,0.4722222222222222,0.00041891701590764357,0.4722222222222222,0.00048323962210207856,0.4722222222222222,0.0003564149345010802,0.4722222222222222,105031.9557522124
